date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:47:27	6476/6476	---M--	200	added ('OK')	image/png	etag:%22wzsdm-1612982110-6476-2593458707%22	http://web.archive.org/_static/images/toolbar/wayback-toolbar-logo-200.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/_static/images/toolbar/wayback-toolbar-logo-200.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:28	292/292	---M--	200	added ('OK')	image/png	etag:%22wzsdm-1612982098-292-945555072%22	http://web.archive.org/_static/images/toolbar/wm_tb_prv_on.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/_static/images/toolbar/wm_tb_prv_on.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:28	294/294	---M--	200	added ('OK')	image/png	etag:%22wzsdm-1612982275-294-946734722%22	http://web.archive.org/_static/images/toolbar/wm_tb_nxt_on.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/_static/images/toolbar/wm_tb_nxt_on.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:28	36888/36888	---MC-	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2011:47:24%20GMT	http://web.archive.org/web/20181204080431im_/http://richlegacy.com/wp-content/uploads/2016/11/cropped-Rich-Legacy-Blue-Navy-1-1-1-192x192.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181204080431im_/http_/richlegacy.com/wp-content/uploads/2016/11/cropped-Rich-Legacy-Blue-Navy-1-1-1-192x192.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:29	913/913	---M--	200	added ('OK')	image/gif	etag:%22wzsdm-1612981979-913-438895683%22	http://web.archive.org/_static/images/loading.gif	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/_static/images/loading.gif	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:29	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:29%20GMT	http://web.archive.org/web/20191020174601im_/http://richlegacy.com/wp-content/uploads/2017/10/Rich-Legacy-Blue-Navy-1-aaa.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601im_/http_/richlegacy.com/wp-content/uploads/2017/10/Rich-Legacy-Blue-Navy-1-aaa.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:30	33668/33668	---MC-	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2011:47:25%20GMT	http://web.archive.org/web/20181201222446im_/http://richlegacy.com/wp-content/uploads/2016/11/cropped-Rich-Legacy-Blue-Navy-1-1-1-180x180.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181201222446im_/http_/richlegacy.com/wp-content/uploads/2016/11/cropped-Rich-Legacy-Blue-Navy-1-1-1-180x180.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:30	7064/7064	---MC-	200	added ('OK')	image/png	date:Sat,%2027%20Mar%202021%2011:47:29%20GMT	http://web.archive.org/web/20181201232439im_/http://richlegacy.com/wp-content/uploads/2017/10/Rich-Legacy-Blue-Navy-1-aaa.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181201232439im_/http_/richlegacy.com/wp-content/uploads/2017/10/Rich-Legacy-Blue-Navy-1-aaa.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:30	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:30%20GMT	http://web.archive.org/web/20191020174601/http://richlegacy.com/about/	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601/http_/richlegacy.com/about/index.html	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:31	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:30%20GMT	http://web.archive.org/web/20191020174601im_/http://yourrichlegacy.com/wp-content/uploads/2017/01/img-_09.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601im_/http_/yourrichlegacy.com/wp-content/uploads/2017/01/img-_09.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:31	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:31%20GMT	http://web.archive.org/web/20191020174601/http://richlegacy.com/media/	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601/http_/richlegacy.com/media/index.html	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Mar%202021%2011:47:31%20GMT	http://web.archive.org/web/20181206091837im_/http://yourrichlegacy.com/wp-content/uploads/2017/01/img-_09.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181206091837im_/http_/yourrichlegacy.com/wp-content/uploads/2017/01/img-_09.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:32	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:31%20GMT	http://web.archive.org/web/20191020174601/http://richlegacy.com/tools/	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601/http_/richlegacy.com/tools/index.html	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:32	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:32%20GMT	http://web.archive.org/web/20191020174601/http://richlegacy.com/services/	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601/http_/richlegacy.com/services/index.html	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:32	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:32%20GMT	http://web.archive.org/web/20191020174601/http://richlegacy.com/advisory-board/	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601/http_/richlegacy.com/advisory-board/index.html	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:32	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:32%20GMT	http://web.archive.org/web/20181206091837im_/http://richlegacy.com/wp-content/uploads/2017/01/img-_09.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181206091837im_/http_/richlegacy.com/wp-content/uploads/2017/01/img-_09.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:32	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:32%20GMT	http://web.archive.org/web/20191020174601/http://richlegacy.com/knowledge/	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601/http_/richlegacy.com/knowledge/index.html	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:33	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:32%20GMT	http://web.archive.org/web/20191020174601/http://richlegacy.com/contact-us/	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601/http_/richlegacy.com/contact-us/index.html	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:33	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:33%20GMT	http://web.archive.org/web/20191020174601/http://richlegacy.com/author/admin/	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601/http_/richlegacy.com/author/admin/index.html	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:34	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:33%20GMT	http://web.archive.org/web/20191020174601im_/http://yourrichlegacy.com/wp-content/uploads/2017/01/img-_05-2.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601im_/http_/yourrichlegacy.com/wp-content/uploads/2017/01/img-_05-2.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Mar%202021%2011:47:34%20GMT	http://web.archive.org/web/20181205151940im_/http://yourrichlegacy.com/wp-content/uploads/2017/01/img-_05-2.png	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181205151940im_/http_/yourrichlegacy.com/wp-content/uploads/2017/01/img-_05-2.png	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
